cuisine,location,name,price,ratings,tags
"Fast Food,North Indian,Biryani,Italian", 354th| Cross Road| Andra Muniyappa Layout| 100 Feet Road| Viveknagar Post| Chandra Reddy Layout| S T| Ejipura| Bangalore,Daily Eat Kitchen,250.0,4.4,
"North Indian,Thai,Chinese,Desserts", Delivery Only,Bowlsome By Ola Foods,250.0,4.4,
Vietnamese, Taj West End| Race Course Road| Bangalore,Blue Ginger - The Taj West End,3200.0,4.4,Fine Dining
"Cafe,Continental,Asian,Italian,North Indian", 12| 1st Main Road| Industrial Layout| Koramangala 5th Block| Bangalore,The Hobbit Cafe,800.0,4.4,"Café,Casual Dining"
"Continental,Mediterranean,American,Italian,Desserts,Beverages", G-1/2| 1st Avenue| 5th Main| 2nd Block| HRBR Layout| Kalyan Nagar| Bangalore,BYLI - Bet You Love It!,800.0,4.4,Casual Dining
"Asian,Seafood", 41/3| MG Road| Bangalore,Memories of China - Taj MG Road Bengaluru,3000.0,4.4,Fine Dining
South Indian, 477| Krishna Temple Road| 1st Stage| Off 100 Feet Road| Indiranagar| Bangalore,The Restaurant - Coorg,1600.0,4.4,Casual Dining
"Desserts,Bakery", 421| 4th D Main| 5th A Cross| Kalyan Nagar| Bangalore,Mugful Of Stories,300.0,4.4,Dessert Parlor
"Ice Cream,Desserts", 27th Main Road| 1st Sector| HSR| Bangalore,Dumont,200.0,4.4,Dessert Parlor
"Cafe,Beverages", 615/1| Ground Floor| Janardhan Mansion| 10th C Main| 32nd D Cross| 4th Block| Jayanagar| Bangalore,The Blue Wagon - Kitchen,400.0,"4.3,4.5",Café
North Indian, 15| 3rd Floor| Above IndusInd Bank| Sankey Main Road| Sadashiv Nagar| Bangalore,Barbecued - By The Orchard,1200.0,4.4,Casual Dining
"South Indian,Kerala,Seafood", 72| 1st Main| 4th Cross Road| Near HDFC Bank| Koramangala 7th Block| Bangalore,Gods Own Cafe,300.0,"4.4,4.3",Quick Bites
"Finger Food,North Indian,Seafood,Chinese,Fast Food", Skywalk| Floor 4| Near Body Craft| Assaye Road| Ulsoor| Bangalore,Watson's,1200.0,4.4,Pub
South Indian, 187| 16th Main| 24th Cross| 2nd Stage| Banashankari| Bangalore,Sri Laxmi Venkateshwara Coffee Bar,100.0,4.4,Quick Bites
"North Indian,Chinese", 88| 1st Floor| Outer Ring Road| Marathahalli| Bangalore,Nakkshatra,900.0,4.4,Casual Dining
"Tea,Beverages", 7| Veeranjanaya Temple Road| New Thippasandra| Thippasandra| Bangalore,Sharon Tea Stall,100.0,4.4,Beverage Shop
"Continental,Italian,North Indian,Mexican", 26| Harlur Road| Near HP Petrol Bunk| Off Sarjapur Road| Bangalore,OPUS Club,1900.0,4.4,Pub
"Finger Food,Continental,Fast Food,North Indian,Italian", 20/2| Vittal Mallya Road| Lavelle Road| Bangalore,The Biere Club,1500.0,4.4,"Microbrewery,Casual Dining"
